target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
MNIST_QNN_z_r5_d2_s43,multiseed_factorial,mnist,QNN,326,43,43,43,"1=member,0=nonmember",6,2,0.645,0.455,0.19,0.5875,0.618125,0.6206896551724138,0.574468085106383,0.675,0.125,0.125,0.175,0.25,optuna,0.637109375,3,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d2_s43/attack_results.json
MNIST_QNN_z_r5_d2_s44,multiseed_factorial,mnist,QNN,326,44,43,43,"1=member,0=nonmember",6,2,0.62,0.42,0.2,0.5625,0.621875,0.6236559139784946,0.5471698113207547,0.725,0.025,0.025,0.1,0.2,optuna,0.680078125,2,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d2_s44/attack_results.json
MNIST_QNN_z_r5_d2_s45,multiseed_factorial,mnist,QNN,326,45,43,43,"1=member,0=nonmember",6,2,0.65,0.405,0.245,0.525,0.51,0.6274509803921569,0.5161290322580645,0.8,0.025,0.025,0.05,0.075,optuna,0.671875,5,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d2_s45/attack_results.json
MNIST_QNN_z_r5_d6_s43,multiseed_factorial,mnist,QNN,350,43,43,43,"1=member,0=nonmember",6,6,0.745,0.445,0.3,0.5625,0.5975,0.6236559139784946,0.5471698113207547,0.725,0.0,0.0,0.1,0.2,optuna,0.7416015625,14,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d6_s43/attack_results.json
MNIST_QNN_z_r5_d6_s44,multiseed_factorial,mnist,QNN,350,44,43,43,"1=member,0=nonmember",6,6,0.745,0.45,0.295,0.6125,0.6768749999999999,0.6075949367088608,0.6153846153846154,0.6,0.025,0.025,0.15,0.15,optuna,0.703125,2,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d6_s44/attack_results.json
MNIST_QNN_z_r5_d6_s45,multiseed_factorial,mnist,QNN,350,45,43,43,"1=member,0=nonmember",6,6,0.74,0.44,0.3,0.6875,0.7112499999999999,0.7126436781609196,0.6595744680851063,0.775,0.1,0.1,0.125,0.375,optuna,0.707421875,9,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r5_d6_s45/attack_results.json
MNIST_QNN_zz_r1_d2_s43,multiseed_factorial,mnist,QNN,902,43,43,43,"1=member,0=nonmember",6,2,0.85,0.71,0.14,0.475,0.460625,0.36363636363636365,0.46153846153846156,0.3,0.0,0.0,0.125,0.125,optuna,0.680859375,23,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d2_s43/attack_results.json
MNIST_QNN_zz_r1_d2_s44,multiseed_factorial,mnist,QNN,902,44,43,43,"1=member,0=nonmember",6,2,0.79,0.67,0.12,0.55,0.589375,0.4375,0.5833333333333334,0.35,0.025,0.025,0.1,0.15,optuna,0.6578125,17,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d2_s44/attack_results.json
MNIST_QNN_zz_r1_d2_s45,multiseed_factorial,mnist,QNN,902,45,43,43,"1=member,0=nonmember",6,2,0.82,0.73,0.08999999999999997,0.525,0.535625,0.5128205128205128,0.5263157894736842,0.5,0.025,0.025,0.15,0.15,optuna,0.6248046875,16,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d2_s45/attack_results.json
MNIST_QNN_zz_r1_d6_s43,multiseed_factorial,mnist,QNN,926,43,43,43,"1=member,0=nonmember",6,6,0.93,0.735,0.19500000000000006,0.55,0.56,0.6538461538461539,0.53125,0.85,0.05,0.05,0.125,0.125,optuna,0.6560546875,60,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d6_s43/attack_results.json
MNIST_QNN_zz_r1_d6_s44,multiseed_factorial,mnist,QNN,926,44,43,43,"1=member,0=nonmember",6,6,0.915,0.72,0.19500000000000006,0.5875,0.54375,0.6972477064220184,0.5507246376811594,0.95,0.0,0.0,0.0,0.0,optuna,0.683984375,5,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d6_s44/attack_results.json
MNIST_QNN_zz_r1_d6_s45,multiseed_factorial,mnist,QNN,926,45,43,43,"1=member,0=nonmember",6,6,0.935,0.71,0.2250000000000001,0.6,0.665,0.6097560975609756,0.5952380952380952,0.625,0.05,0.05,0.075,0.125,optuna,0.6923828125,16,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r1_d6_s45/attack_results.json
MNIST_QNN_zz_r5_d2_s43,multiseed_factorial,mnist,QNN,1046,43,43,43,"1=member,0=nonmember",6,2,0.72,0.51,0.20999999999999996,0.5625,0.614375,0.5679012345679012,0.5609756097560976,0.575,0.05,0.05,0.05,0.15,optuna,0.643359375,10,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d2_s43/attack_results.json
MNIST_QNN_zz_r5_d2_s44,multiseed_factorial,mnist,QNN,1046,44,43,43,"1=member,0=nonmember",6,2,0.69,0.53,0.15999999999999992,0.5375,0.5856250000000001,0.5066666666666667,0.5428571428571428,0.475,0.0,0.0,0.0,0.15,optuna,0.641796875,6,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d2_s44/attack_results.json
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,mnist,QNN,1046,45,43,43,"1=member,0=nonmember",6,2,0.7,0.52,0.17999999999999994,0.575,0.5737500000000001,0.6222222222222222,0.56,0.7,0.0,0.0,0.075,0.1,optuna,0.650390625,12,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d2_s45/attack_results.json
MNIST_QNN_zz_r5_d6_s43,multiseed_factorial,mnist,QNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.855,0.52,0.33499999999999996,0.675,0.7006249999999999,0.717391304347826,0.6346153846153846,0.825,0.0,0.0,0.125,0.225,optuna,0.7244140625,11,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d6_s43/attack_results.json
MNIST_QNN_zz_r5_d6_s44,multiseed_factorial,mnist,QNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.875,0.55,0.32499999999999996,0.65,0.7375,0.6818181818181818,0.625,0.75,0.0,0.0,0.1,0.15,optuna,0.7150390625,18,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d6_s44/attack_results.json
MNIST_QNN_zz_r5_d6_s45,multiseed_factorial,mnist,QNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.935,0.545,0.39,0.625,0.6693749999999999,0.7,0.5833333333333334,0.875,0.025,0.025,0.1,0.2,optuna,0.7796875,7,reviewer_results/learned_mia_seed43/MNIST_QNN_zz_r5_d6_s45/attack_results.json
