scope,shots,replicate,contrast,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
eff_su2_r1_d2,64,8,matched_minus_naive_mean,0.009630555555555587,0.011666666666666603,0.0,0.001666666666666667,0.03833333333333333
eff_su2_r1_d2,64,8,matched_minus_deconvolved_mean,-0.013641666666666663,-0.013333333333333308,0.0,-0.008333333333333331,0.0049999999999999975
eff_su2_r1_d2,64,9,matched_minus_mismatched,0.0050916666666667165,0.026666666666666727,0.0,0.021666666666666667,0.026666666666666672
eff_su2_r1_d2,64,9,matched_minus_naive_mean,0.006325000000000025,0.030000000000000082,0.0,0.023333333333333338,0.03166666666666667
eff_su2_r1_d2,64,9,matched_minus_deconvolved_mean,-0.01655833333333334,-0.013333333333333308,0.0,0.023333333333333338,0.020000000000000004
eff_su2_r1_d2,64,10,matched_minus_mismatched,-0.01427222222222213,-0.01333333333333342,0.011666666666666667,0.018333333333333333,0.021666666666666667
eff_su2_r1_d2,64,10,matched_minus_naive_mean,-0.016541666666666677,-0.03166666666666673,0.011666666666666667,0.021666666666666667,0.03166666666666666
eff_su2_r1_d2,64,10,matched_minus_deconvolved_mean,-0.010677777777777786,-0.01333333333333342,0.011666666666666667,0.016666666666666666,0.011666666666666659
eff_su2_r1_d2,64,11,matched_minus_mismatched,0.00239166666666657,0.013333333333333308,0.016666666666666666,0.015000000000000001,0.009999999999999995
eff_su2_r1_d2,64,11,matched_minus_naive_mean,0.003438888888888769,0.014999999999999902,0.016666666666666666,0.01,0.03166666666666666
eff_su2_r1_d2,64,11,matched_minus_deconvolved_mean,-0.023222222222222366,-0.02000000000000013,0.016666666666666666,0.018333333333333333,0.0
eff_su2_r1_d2,64,12,matched_minus_mismatched,0.0004861111111110761,0.0,0.011666666666666667,0.018333333333333333,0.013333333333333329
eff_su2_r1_d2,64,12,matched_minus_naive_mean,-0.00029444444444448603,-0.008333333333333304,0.011666666666666667,0.018333333333333333,0.03
eff_su2_r1_d2,64,12,matched_minus_deconvolved_mean,-0.014783333333333482,-0.021666666666666612,0.011666666666666667,-0.008333333333333335,0.0049999999999999975
eff_su2_r1_d2,64,13,matched_minus_mismatched,-1.666666666666483e-05,0.0050000000000000044,0.005,0.023333333333333334,0.003333333333333327
eff_su2_r1_d2,64,13,matched_minus_naive_mean,-0.0046027777777778445,-0.014999999999999902,0.005,0.023333333333333334,0.016666666666666663
eff_su2_r1_d2,64,13,matched_minus_deconvolved_mean,-0.008955555555555605,-0.011666666666666603,0.005,0.025,0.026666666666666665
eff_su2_r1_d2,64,14,matched_minus_mismatched,-0.01780555555555563,-0.01333333333333342,0.005,0.016666666666666666,0.013333333333333336
eff_su2_r1_d2,64,14,matched_minus_naive_mean,-0.027469444444444435,-0.033333333333333326,0.005,0.016666666666666666,0.015
eff_su2_r1_d2,64,14,matched_minus_deconvolved_mean,-0.009075000000000055,-0.03500000000000003,0.005,0.021666666666666667,0.015
eff_su2_r1_d2,64,15,matched_minus_mismatched,-0.011874999999999969,-0.02500000000000005,0.008333333333333333,0.01666666666666667,0.011666666666666659
eff_su2_r1_d2,64,15,matched_minus_naive_mean,-0.015086111111111133,-0.030000000000000054,0.008333333333333333,0.021666666666666667,0.04166666666666666
