scope,scope_id,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,noise_augmented_lira,4,10,0.48174999999999996,0.44958,0.53121,0.05999999999999997,0.03449999999999998,0.1255,0.0,0.0,0.01549999999999999,0.01,0.0,0.025499999999999988,0.045,0.02,0.0755
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,noise_augmented_lira,8,10,0.4866,0.457295,0.564505,0.06499999999999997,0.024500000000000022,0.15299999999999997,0.005,0.0,0.01,0.01,0.0,0.04549999999999999,0.045,0.0045000000000000005,0.07
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,target_crossfit_learned_mia,0,10,0.48,0.424405,0.5476349999999999,0.06999999999999995,0.014500000000000013,0.16299999999999995,0.0,0.0,0.03649999999999997,0.015,0.0,0.050999999999999976,0.035,0.009000000000000001,0.07749999999999996
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,affine_channel_lira,16,10,0.52785,0.48097499999999993,0.58828,0.105,0.04999999999999998,0.17650000000000002,0.01,0.0,0.02,0.015,0.0,0.04,0.065,0.0345,0.13199999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,affine_channel_lira,4,10,0.4939,0.459775,0.5297399999999999,0.07500000000000001,0.03449999999999997,0.10099999999999998,0.0,0.0,0.01549999999999999,0.01,0.0,0.03,0.03,0.0145,0.07199999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,affine_channel_lira,8,10,0.50835,0.47065999999999997,0.551895,0.09,0.04350000000000001,0.181,0.0,0.0,0.020999999999999977,0.015,0.0,0.03,0.055,0.0145,0.09549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,deconvolved_lira,16,10,0.5233,0.45653000000000005,0.585835,0.09000000000000002,0.030000000000000016,0.19199999999999992,0.01,0.0,0.03,0.02,0.0,0.05,0.07500000000000001,0.0335,0.11199999999999996
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,deconvolved_lira,4,10,0.4861,0.46238,0.526135,0.065,0.024500000000000022,0.14999999999999997,0.005,0.0,0.01549999999999999,0.01,0.0,0.025499999999999988,0.05,0.01,0.07099999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,deconvolved_lira,8,10,0.5136000000000001,0.46896999999999994,0.556755,0.09999999999999999,0.03450000000000003,0.15550000000000003,0.0,0.0,0.02,0.0,0.0,0.02,0.045,0.009000000000000001,0.08099999999999997
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,empirical_channel_lira,16,10,0.50405,0.45107,0.566685,0.08000000000000003,0.04449999999999998,0.14999999999999997,0.01,0.0,0.03099999999999998,0.02,0.01,0.05,0.07,0.0345,0.11549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,empirical_channel_lira,4,10,0.5080500000000001,0.47731999999999997,0.533045,0.07999999999999999,0.039000000000000035,0.12649999999999997,0.0,0.0,0.01549999999999999,0.02,0.0,0.03549999999999999,0.045,0.02,0.07749999999999996
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,empirical_channel_lira,8,10,0.5157499999999999,0.458895,0.55299,0.08000000000000002,0.059000000000000025,0.16099999999999998,0.0,0.0,0.02,0.01,0.0,0.025499999999999988,0.055,0.0145,0.10199999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,latent_lira_mismatched,16,10,0.52815,0.45443,0.5817999999999999,0.08999999999999997,0.049000000000000044,0.18199999999999994,0.01,0.0,0.025499999999999988,0.02,0.0045000000000000005,0.04099999999999998,0.06,0.0345,0.1055
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,latent_lira_mismatched,4,10,0.50465,0.47894,0.533865,0.08000000000000004,0.050000000000000044,0.16649999999999995,0.01,0.0,0.025499999999999988,0.015,0.01,0.025499999999999988,0.04,0.0145,0.06549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,latent_lira_mismatched,8,10,0.5309,0.469005,0.57607,0.11499999999999999,0.03450000000000003,0.15749999999999995,0.0,0.0,0.01,0.01,0.0,0.03099999999999998,0.045,0.0045000000000000005,0.10099999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,loss_mia,0,10,0.5106999999999999,0.485345,0.529205,0.07000000000000006,0.04450000000000004,0.1255,0.01,0.0045000000000000005,0.025499999999999988,0.025,0.0045000000000000005,0.03549999999999999,0.05,0.019,0.08
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,noise_augmented_lira,16,10,0.52295,0.483925,0.578125,0.10500000000000005,0.039000000000000035,0.2,0.005,0.0,0.025499999999999988,0.015,0.0045000000000000005,0.05,0.07,0.03,0.1255
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,noise_augmented_lira,4,10,0.49585,0.46808999999999995,0.537445,0.065,0.04899999999999998,0.12749999999999995,0.0,0.0,0.005499999999999989,0.01,0.0,0.025499999999999988,0.045,0.02,0.06549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,noise_augmented_lira,8,10,0.53505,0.484445,0.5635699999999999,0.13000000000000003,0.07,0.16099999999999998,0.0,0.0,0.01549999999999999,0.005,0.0,0.025499999999999988,0.05500000000000001,0.019,0.09649999999999997
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,1024,target_crossfit_learned_mia,0,10,0.49395,0.42446999999999996,0.517955,0.06,0.004500000000000004,0.12949999999999992,0.005,0.0,0.02,0.02,0.0,0.050999999999999976,0.035,0.0245,0.09549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,affine_channel_lira,16,10,0.53375,0.47898499999999994,0.5981849999999999,0.11499999999999999,0.03350000000000003,0.2269999999999998,0.0,0.0,0.026499999999999968,0.01,0.0,0.03099999999999998,0.045,0.03,0.11299999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,affine_channel_lira,4,10,0.5037,0.445255,0.5590149999999999,0.07000000000000003,0.013500000000000012,0.15299999999999997,0.0,0.0,0.03199999999999996,0.01,0.0,0.046499999999999965,0.045,0.02,0.08549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,affine_channel_lira,8,10,0.5007,0.485795,0.5752799999999999,0.09000000000000005,0.06450000000000002,0.18149999999999986,0.0,0.0,0.03549999999999999,0.0,0.0,0.03549999999999999,0.05,0.02,0.1
