strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,32,1024,affine_minus_mismatched_lira,10,0.009281111111111129,-0.0013333333333333333,0.004666666666666668,0.013000000000000001
cross_cell_2,2,32,128,affine_minus_loss,10,0.012062333333333342,0.0033333333333333335,0.006,0.017
cross_cell_2,2,32,128,affine_minus_mismatched_lira,10,0.005310222222222272,0.004333333333333333,-0.004,0.003666666666666667
cross_cell_2,2,32,512,affine_minus_loss,10,0.023220444444444377,0.002666666666666667,0.003333333333333333,0.019666666666666666
cross_cell_2,2,32,512,affine_minus_mismatched_lira,10,0.010626444444444383,0.0,0.0016666666666666661,0.009666666666666667
cross_cell_2,2,33,1024,affine_minus_loss,10,0.02199422222222225,0.0013333333333333335,-0.010666666666666666,0.01633333333333333
cross_cell_2,2,33,1024,affine_minus_mismatched_lira,10,0.0061657777777778255,-0.0010000000000000002,0.007333333333333333,0.026000000000000002
cross_cell_2,2,33,128,affine_minus_loss,10,0.009068555555555524,0.0016666666666666668,0.0,0.021666666666666667
cross_cell_2,2,33,128,affine_minus_mismatched_lira,10,0.0044520000000000115,0.003,-0.005666666666666665,0.017666666666666664
cross_cell_2,2,33,512,affine_minus_loss,10,0.016890444444444375,0.002,-0.004666666666666666,0.020999999999999998
cross_cell_2,2,33,512,affine_minus_mismatched_lira,10,0.0028664444444444492,-0.00033333333333333327,0.007333333333333332,0.028666666666666667
cross_cell_2,2,34,1024,affine_minus_loss,10,0.026820000000000066,0.0016666666666666668,-0.001666666666666667,0.022
cross_cell_2,2,34,1024,affine_minus_mismatched_lira,10,0.007622222222222252,-0.0016666666666666668,0.0,0.016666666666666663
cross_cell_2,2,34,128,affine_minus_loss,10,0.012720777777777803,0.0026666666666666666,0.001333333333333334,0.018666666666666665
