strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,contrast,comparator_attack,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,1,128,3,affine_minus_loss,loss_mia,0.015267999999999948,-0.0013333333333333335,0.011333333333333334,0.03333333333333333
cross_cell_2,2,1,128,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.013289333333333486,0.006,-0.0013333333333333322,0.02333333333333333
cross_cell_2,2,1,128,4,affine_minus_loss,loss_mia,0.026901777777777802,0.004,0.012666666666666666,0.03933333333333333
cross_cell_2,2,1,128,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.009527555555555511,0.003333333333333333,-0.0006666666666666661,0.016666666666666666
cross_cell_2,2,1,128,5,affine_minus_loss,loss_mia,0.010653111111111113,0.003333333333333333,0.016,0.038
cross_cell_2,2,1,128,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.0031368888888888558,0.002666666666666667,0.011333333333333334,0.011333333333333334
cross_cell_2,2,1,128,6,affine_minus_loss,loss_mia,0.016103777777777828,0.002,0.018000000000000002,0.032
cross_cell_2,2,1,128,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.00620222222222222,0.004,-0.008666666666666666,0.02266666666666667
cross_cell_2,2,1,128,7,affine_minus_loss,loss_mia,0.01268888888888886,0.002666666666666667,0.004666666666666666,0.03666666666666667
cross_cell_2,2,1,128,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.004949777777777831,0.004,-0.004,0.022
cross_cell_2,2,1,128,8,affine_minus_loss,loss_mia,0.006012000000000017,0.002666666666666667,0.012666666666666666,0.035333333333333335
cross_cell_2,2,1,128,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.013623111111111141,0.0026666666666666666,-0.014,0.016
cross_cell_2,2,1,128,9,affine_minus_loss,loss_mia,-0.0009093333333333176,0.002,0.006666666666666667,0.034
cross_cell_2,2,1,512,0,affine_minus_mismatched_lira,latent_lira_mismatched,4.66666666665283e-05,-0.000666666666666667,-0.004666666666666666,0.013999999999999999
cross_cell_2,2,1,512,0,affine_minus_loss,loss_mia,0.023334666666666615,0.002,0.008666666666666666,0.03066666666666667
cross_cell_2,2,1,512,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.01015822222222218,0.0,-0.003333333333333334,0.018666666666666668
cross_cell_2,2,1,512,1,affine_minus_loss,loss_mia,0.014090666666666696,0.0006666666666666666,0.008666666666666666,0.029333333333333336
cross_cell_2,2,1,512,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.008326222222222235,-0.004,-0.009333333333333334,0.02
cross_cell_2,2,1,512,2,affine_minus_loss,loss_mia,0.022427555555555534,0.0033333333333333335,0.0006666666666666678,0.027333333333333334
cross_cell_2,2,1,512,3,affine_minus_mismatched_lira,latent_lira_mismatched,0.003444444444444583,0.0013333333333333335,-0.006,0.008666666666666666
cross_cell_2,2,1,512,3,affine_minus_loss,loss_mia,0.014349777777777795,0.0013333333333333335,0.007333333333333332,0.020666666666666667
cross_cell_2,2,1,512,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.009863111111111045,0.002,0.0,0.015333333333333334
cross_cell_2,2,1,512,4,affine_minus_loss,loss_mia,0.025818666666666545,0.0033333333333333335,0.006666666666666668,0.035333333333333335
cross_cell_2,2,1,512,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.005191999999999974,0.0019999999999999996,-0.001333333333333334,0.017333333333333336
cross_cell_2,2,1,512,5,affine_minus_loss,loss_mia,0.01953466666666659,0.004,0.005999999999999998,0.032
cross_cell_2,2,1,512,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.01616177777777772,0.0013333333333333335,-0.004666666666666666,0.018666666666666668
cross_cell_2,2,1,512,6,affine_minus_loss,loss_mia,0.021855999999999987,0.0020000000000000005,0.004666666666666666,0.028
cross_cell_2,2,1,512,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.0002773333333332406,-0.0006666666666666665,0.0019999999999999983,0.015999999999999997
cross_cell_2,2,1,512,7,affine_minus_loss,loss_mia,0.017807555555555465,0.002666666666666667,0.007333333333333332,0.027999999999999997
cross_cell_2,2,1,512,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.0005862222222221547,-0.0006666666666666665,-0.005333333333333334,0.013333333333333336
cross_cell_2,2,1,512,8,affine_minus_loss,loss_mia,0.022361333333333233,0.002666666666666667,0.005333333333333334,0.03066666666666667
cross_cell_2,2,1,512,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.015041333333333351,-0.0006666666666666665,-0.003333333333333334,0.013333333333333332
cross_cell_2,2,1,512,9,affine_minus_loss,loss_mia,0.01817066666666667,0.002,0.005333333333333334,0.029333333333333333
cross_cell_2,2,10,1024,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.010073333333333379,-0.0019999999999999996,-0.008,0.002666666666666668
cross_cell_2,2,10,1024,0,affine_minus_loss,loss_mia,0.031994222222222146,0.000666666666666667,0.001333333333333334,0.029333333333333333
cross_cell_2,2,10,1024,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.011658666666666706,0.0013333333333333335,-0.013333333333333334,0.003333333333333334
cross_cell_2,2,10,1024,1,affine_minus_loss,loss_mia,0.022371555555555478,0.002666666666666667,0.002,0.026000000000000002
cross_cell_2,2,10,1024,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.00913111111111109,-0.002666666666666667,-0.008666666666666668,0.0033333333333333305
cross_cell_2,2,10,1024,2,affine_minus_loss,loss_mia,0.029002222222222263,0.004,0.002,0.026666666666666665
cross_cell_2,2,10,1024,3,affine_minus_mismatched_lira,latent_lira_mismatched,0.005936000000000052,-0.004,-0.013333333333333334,0.012
cross_cell_2,2,10,1024,3,affine_minus_loss,loss_mia,0.0262555555555557,-0.0006666666666666666,0.001333333333333334,0.03133333333333333
cross_cell_2,2,10,1024,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.012667111111110962,-0.0013333333333333335,-0.012666666666666666,-0.0006666666666666661
cross_cell_2,2,10,1024,4,affine_minus_loss,loss_mia,0.02938622222222209,0.0,0.001333333333333334,0.023999999999999997
cross_cell_2,2,10,1024,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.011587555555555573,-0.001333333333333333,-0.005333333333333332,0.0026666666666666644
