shots,simulator_seed,contrast,treatment_strategy,comparator_strategy,auc_difference,actual_fpr_difference,calibrated_tpr_difference
1024,5,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0007873333333332511,-0.002666666666666666,-0.0036666666666666653
1024,5,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0007482222222221502,-0.003333333333333334,-0.004333333333333331
1024,6,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0022640000000000438,0.0003333333333333348,0.002666666666666668
1024,6,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0013493333333334245,-0.0010000000000000009,-0.001666666666666667
1024,6,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0016486666666667427,-0.001666666666666667,-0.002999999999999999
1024,6,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0018471111111111327,-0.002333333333333335,-0.004
1024,7,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0007551111111110398,0.002,0.0019999999999999983
1024,7,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0010797777777777906,-0.001666666666666667,-0.0026666666666666644
1024,7,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0014331111111112182,-0.002,-0.004666666666666666
1024,7,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0016253333333333675,-0.002,-0.004666666666666666
1024,8,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,-0.000542444444444401,0.0,0.005333333333333332
1024,8,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0007215555555555309,-0.002,-0.0006666666666666661
1024,8,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0013786666666666392,-0.002,-0.0033333333333333305
1024,8,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0015988888888889274,-0.002666666666666666,-0.0033333333333333305
1024,9,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0026342222222222045,0.001333333333333334,0.005333333333333332
1024,9,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0009235555555555663,-0.002666666666666666,-0.0006666666666666661
1024,9,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0011397777777777396,-0.003333333333333334,-0.0019999999999999983
1024,9,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0011671111111112298,-0.004666666666666666,-0.0019999999999999983
