strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_4,4,1024,7,affine_channel_lira,32,0.012333333333333333,0.026000000000000002
cross_cell_4,4,1024,7,latent_lira_mismatched,32,0.012333333333333333,0.017
cross_cell_4,4,1024,7,loss_mia,32,0.01633333333333333,0.011666666666666667
cross_cell_4,4,1024,8,affine_channel_lira,32,0.012,0.029333333333333333
cross_cell_4,4,1024,8,latent_lira_mismatched,32,0.011333333333333334,0.02
cross_cell_4,4,1024,8,loss_mia,32,0.017,0.012
cross_cell_4,4,1024,9,affine_channel_lira,32,0.011333333333333334,0.028
cross_cell_4,4,1024,9,latent_lira_mismatched,32,0.016,0.017333333333333333
cross_cell_4,4,1024,9,loss_mia,32,0.016666666666666666,0.009000000000000001
cross_cell_4,4,128,0,affine_channel_lira,32,0.012,0.023333333333333334
cross_cell_4,4,128,0,latent_lira_mismatched,32,0.018,0.021333333333333333
cross_cell_4,4,128,0,loss_mia,32,0.015333333333333332,0.008666666666666666
cross_cell_4,4,128,1,affine_channel_lira,32,0.010666666666666666,0.024666666666666667
cross_cell_4,4,128,1,latent_lira_mismatched,32,0.018,0.017666666666666664
cross_cell_4,4,128,1,loss_mia,32,0.011666666666666667,0.012333333333333333
cross_cell_4,4,128,2,affine_channel_lira,32,0.010666666666666666,0.024333333333333332
cross_cell_4,4,128,2,latent_lira_mismatched,32,0.016,0.016
cross_cell_4,4,128,2,loss_mia,32,0.007666666666666667,0.011333333333333334
cross_cell_4,4,128,3,affine_channel_lira,32,0.012666666666666666,0.021666666666666667
cross_cell_4,4,128,3,latent_lira_mismatched,32,0.014666666666666666,0.016666666666666666
cross_cell_4,4,128,3,loss_mia,32,0.013333333333333334,0.012
cross_cell_4,4,128,4,affine_channel_lira,32,0.012333333333333333,0.024333333333333332
cross_cell_4,4,128,4,latent_lira_mismatched,32,0.019666666666666666,0.018
cross_cell_4,4,128,4,loss_mia,32,0.012,0.009000000000000001
cross_cell_4,4,128,5,affine_channel_lira,32,0.015,0.023333333333333334
cross_cell_4,4,128,5,latent_lira_mismatched,32,0.020333333333333335,0.023
cross_cell_4,4,128,5,loss_mia,32,0.012666666666666666,0.011
cross_cell_4,4,128,6,affine_channel_lira,32,0.013000000000000001,0.022333333333333334
cross_cell_4,4,128,6,latent_lira_mismatched,32,0.014666666666666666,0.021333333333333333
cross_cell_4,4,128,6,loss_mia,32,0.014666666666666666,0.008
cross_cell_4,4,128,7,affine_channel_lira,32,0.011,0.026
cross_cell_4,4,128,7,latent_lira_mismatched,32,0.021666666666666667,0.019000000000000003
cross_cell_4,4,128,7,loss_mia,32,0.012,0.012
cross_cell_4,4,128,8,affine_channel_lira,32,0.011,0.024666666666666667
cross_cell_4,4,128,8,latent_lira_mismatched,32,0.018666666666666668,0.021666666666666667
cross_cell_4,4,128,8,loss_mia,32,0.012333333333333333,0.012
cross_cell_4,4,128,9,affine_channel_lira,32,0.008,0.021333333333333333
cross_cell_4,4,128,9,latent_lira_mismatched,32,0.021666666666666667,0.022333333333333334
cross_cell_4,4,128,9,loss_mia,32,0.010666666666666666,0.010666666666666666
cross_cell_4,4,512,0,affine_channel_lira,32,0.010666666666666666,0.026
cross_cell_4,4,512,0,latent_lira_mismatched,32,0.016,0.019333333333333334
cross_cell_4,4,512,0,loss_mia,32,0.015,0.009666666666666667
cross_cell_4,4,512,1,affine_channel_lira,32,0.013333333333333334,0.027333333333333334
cross_cell_4,4,512,1,latent_lira_mismatched,32,0.017,0.013666666666666667
cross_cell_4,4,512,1,loss_mia,32,0.013333333333333332,0.012333333333333333
cross_cell_4,4,512,2,affine_channel_lira,32,0.010666666666666666,0.02666666666666667
cross_cell_4,4,512,2,latent_lira_mismatched,32,0.012333333333333333,0.015333333333333332
cross_cell_4,4,512,2,loss_mia,32,0.013000000000000001,0.011333333333333334
cross_cell_4,4,512,3,affine_channel_lira,32,0.010333333333333333,0.025
