scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,1000,1000,0.5047429999999999,0.024999999999999994,0.006,0.001,0.015,0.009,0.048,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,1000,1000,0.49737900000000007,0.023999999999999966,0.0,0.0,0.005,0.007,0.041,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,3000,3000,0.5048818888888889,0.020333333333333314,0.001,0.0006666666666666666,0.013333333333333334,0.009333333333333334,0.053,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,1000,1000,0.487162,0.014000000000000012,0.001,0.001,0.009,0.008,0.048,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,1000,1000,0.516567,0.041000000000000036,0.001,0.0,0.011,0.01,0.058,0.046
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,1000,1000,0.510067,0.03300000000000003,0.007,0.001,0.019,0.009,0.053,0.047
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,3000,3000,0.49391100000000004,0.008666666666666711,0.002,0.001,0.007,0.008333333333333333,0.04466666666666667,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,1000,1000,0.485689,0.004999999999999949,0.001,0.0,0.003,0.009,0.034,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,1000,1000,0.496576,0.01799999999999996,0.003,0.001,0.017,0.01,0.049,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,1000,1000,0.49919600000000003,0.025000000000000022,0.001,0.001,0.003,0.009,0.042,0.05
