scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,200,200,0.40507499999999996,0.015,0.0,0.0,0.02,0.01,0.05,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,200,200,0.55555,0.12,0.0,0.0,0.0,0.0,0.025,0.03
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,600,600,0.5201305555555555,0.06500000000000006,0.0,0.0,0.011666666666666667,0.006666666666666667,0.04666666666666667,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,200,200,0.501075,0.09999999999999998,0.0,0.0,0.005,0.01,0.03,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,200,200,0.5307,0.08999999999999997,0.015,0.0,0.025,0.01,0.045,0.035
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,200,200,0.5276000000000001,0.06500000000000006,0.0,0.0,0.015,0.01,0.065,0.04
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,600,600,0.5294972222222222,0.06500000000000006,0.0016666666666666668,0.0,0.008333333333333333,0.006666666666666667,0.05,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,loss_mia,0,200,200,0.5303,0.07500000000000001,0.0,0.0,0.0,0.0,0.035,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,loss_mia,0,200,200,0.554675,0.135,0.01,0.0,0.02,0.01,0.095,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,loss_mia,0,200,200,0.506775,0.05500000000000005,0.0,0.0,0.015,0.01,0.06,0.035
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,600,600,0.5360527777777777,0.08333333333333337,0.0,0.0,0.006666666666666667,0.01,0.03166666666666667,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,loss_mia,0,200,200,0.5283500000000001,0.07,0.0,0.0,0.02,0.01,0.08,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,loss_mia,0,200,200,0.5354,0.10999999999999999,0.0,0.0,0.005,0.01,0.02,0.03
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,loss_mia,0,200,200,0.5441250000000001,0.12,0.0,0.0,0.01,0.005,0.045,0.045
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,600,600,0.5127944444444444,0.04166666666666674,0.0,0.0,0.006666666666666667,0.01,0.051666666666666666,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,200,200,0.5095000000000001,0.04500000000000004,0.005,0.0,0.025,0.01,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,200,200,0.521525,0.07999999999999996,0.0,0.0,0.01,0.01,0.045,0.045
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,200,200,0.508,0.05000000000000002,0.0,0.0,0.0,0.0,0.035,0.045
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,600,600,0.48278055555555555,0.020000000000000004,0.005,0.0,0.01,0.0016666666666666668,0.05333333333333334,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,200,200,0.45640000000000003,0.03,0.01,0.0,0.035,0.01,0.055,0.03
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,200,200,0.5001,0.040000000000000036,0.005,0.0,0.015,0.005,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,200,200,0.4911,0.04500000000000001,0.01,0.0,0.01,0.0,0.04,0.05
